occupation,probability_woman,probability_man,genderedness,femaleness,maleness,salary,model
Bank Manger,0.25511650647968054,0.22903622686862946,0.34284402444349993,0.5342602426332047,0.4657397573667953,76534.0,345M
Bank Director,0.2701921910047531,0.331370584666729,0.427563193530873,0.4354781745197944,0.5645218254802056,76534.0,345M
Transport Manager,0.22533100470900536,0.23787189275026321,0.32765393183015906,0.4827681833528122,0.5172318166471879,36110.0,345M
Transport Director,0.2474899897351861,0.2653363309800625,0.36284247760851235,0.4778545869504137,0.5221454130495863,36110.0,345M
Logistics Manager,0.19531776942312717,0.2163771353662014,0.291492874289766,0.4674634457659621,0.5325365542340379,36110.0,345M
Logistics Director,0.18945165257900953,0.20868496969342232,0.2818534109086891,0.4692698491813932,0.5307301508186069,36110.0,345M
Distribution Manger,0.30686900950968266,0.2668687831610441,0.40667866482434273,0.5443125695618155,0.4556874304381845,44226.0,345M
Distribution Director,0.24358784034848213,0.24909535981714725,0.34840139817180943,0.4928837643467222,0.5071162356532778,44226.0,345M
Warehouse Manager,0.23522904887795448,0.27369892597198486,0.36089306936299725,0.4519692382936928,0.5480307617063072,31907.0,345M
Warehouse Director,0.23417734913527966,0.29999754950404167,0.3805753020841691,0.42195011976925717,0.5780498802307428,31907.0,345M
Senior Protective Officer,0.22572696302086115,0.14256691373884678,0.2669793750978547,0.6413766572672418,0.3586233427327582,55482.0,345M
Senior Police Officer,0.1746873613446951,0.15383482165634632,0.23276775242204825,0.5403545166096846,0.4596454833903154,60950.0,345M
Senior Fire Officer,0.1838762303814292,0.17934802919626236,0.25685829493296064,0.5079361248654345,0.4920638751345655,47136.0,345M
Senior Ambulance Officer,0.2004700694233179,0.16849546507000923,0.26187586846395106,0.5550320692745812,0.44496793072541885,47136.0,345M
Senior Prison Office,0.1439426359720528,0.17410806193947792,0.22590506785573447,0.4398000617065999,0.5601999382934001,47136.0,345M
Health Director,0.23091503232717514,0.17188275419175625,0.28786356723837775,0.5926406977157435,0.40735930228425654,47039.0,345M
Social Services Manager,0.25590502843260765,0.18605619482696056,0.3163926219281695,0.5997878786864264,0.40021212131357364,47039.0,345M
Social Services Director,0.27734155394136906,0.24582168832421303,0.3706030760708549,0.538309157491977,0.46169084250802295,47039.0,345M
Public Health Director,0.24593203514814377,0.13498773984611034,0.28054278786108366,0.680426625352242,0.31957337464775804,49203.0,345M
Public Health Manager,0.1990771684795618,0.07711595669388771,0.21349142789970138,0.764725205300352,0.23527479469964796,49203.0,345M
Health Services Director,0.271839277818799,0.21733140386641026,0.34803668207760935,0.5706465695509316,0.4293534304490684,49203.0,345M
Health Services Manager,0.2618908230215311,0.18767684884369373,0.3221946659626655,0.6041529521781026,0.3958470478218974,49203.0,345M
Social Services Manager,0.25590502843260765,0.18605619482696056,0.3163926219281695,0.5997878786864264,0.40021212131357364,41415.0,345M
Social Services Director,0.27734155394136906,0.24582168832421303,0.3706030760708549,0.538309157491977,0.46169084250802295,41415.0,345M
Retail Manger,0.27678926568478346,0.2616579681634903,0.3808899971143477,0.5178854083748802,0.4821145916251198,31773.0,345M
Retail Director,0.23144142422825098,0.2743080910295248,0.35890118647486147,0.4461696020105517,0.5538303979894483,31773.0,345M
Wholesale Manger,0.24336175061762333,0.16993961576372385,0.29682387819984496,0.6119265153469232,0.3880734846530768,31773.0,345M
Wholesale Director,0.18241638410836458,0.141403591260314,0.23080449045130028,0.5802028210194653,0.4197971789805347,31773.0,345M
Retail Manger,0.27678926568478346,0.2616579681634903,0.3808899971143477,0.5178854083748802,0.4821145916251198,31773.0,345M
Retail Director,0.23144142422825098,0.2743080910295248,0.35890118647486147,0.4461696020105517,0.5538303979894483,31773.0,345M
Wholesale Manger,0.24336175061762333,0.16993961576372385,0.29682387819984496,0.6119265153469232,0.3880734846530768,31773.0,345M
Wholesale Director,0.18241638410836458,0.141403591260314,0.23080449045130028,0.5802028210194653,0.4197971789805347,31773.0,345M
Proprietor,0.15318658226169646,0.30732297897338867,0.3433854137701504,0.2943797324029507,0.7056202675970493,33340.0,345M
Agriculture Manager,0.23921770881861448,0.23493194580078125,0.3352881318659649,0.5057541477671702,0.4942458522328298,28158.0,345M
Agriculture Proprietor,0.2878884756937623,0.29697348177433014,0.4136097476056946,0.4901118044878368,0.5098881955121632,28158.0,345M
Horticulture Manager,0.2756574982777238,0.18914337642490864,0.3343086496071377,0.6171543858959891,0.38284561410401086,28979.0,345M
Horticulture Proprietor,0.3410662841051817,0.2642382811754942,0.43144881433594884,0.5803729115856961,0.41962708841430385,28979.0,345M
Fishing manager,0.2266273144632578,0.34451769292354584,0.4123740782326054,0.37041482170002243,0.6295851782999775,25044.0,345M
Fishing proprietor,0.2803019662387669,0.4832461550831795,0.5586555635451912,0.3346159577968081,0.6653840422031919,25044.0,345M
Forestry Manager,0.212021017447114,0.21746603026986122,0.30371760923700425,0.49192940243141164,0.5080705975685884,25044.0,345M
Forestry Proprietor,0.2824985533952713,0.26681316271424294,0.3885803603734986,0.5181735013031513,0.4818264986968487,25044.0,345M
Hotel Manager,0.28551042824983597,0.3190755471587181,0.4281651660680024,0.4646926887835482,0.5353073112164518,30892.0,345M
Hotel Proprietor,0.30312037374824286,0.3468945771455765,0.46067104167104184,0.45719250764002306,0.5428074923599769,30892.0,345M
Restaurant Manager,0.2661043247207999,0.28814224898815155,0.39222119688647994,0.47470008431387134,0.5252999156861287,24664.0,345M
Pub Landlord,0.15219325944781303,0.3722561076283455,0.40216588354552857,0.24707463421538878,0.7529253657846112,25617.0,345M
Care Service Manager,0.22727579157799482,0.12995321583002806,0.26180550747066034,0.6693295993498866,0.33067040065011344,31362.0,345M
Health Service Manager,0.24407881870865822,0.14198423735797405,0.2823720832524695,0.6645867415376191,0.3354132584623809,31362.0,345M
Health Care Practice Manger,0.21213307604193687,0.15167082473635674,0.26077668804404436,0.6048444992691435,0.3951555007308565,29190.0,345M
Residential Care Manger,0.23983824625611305,0.15158452838659286,0.2837256661167504,0.6411773342398812,0.3588226657601188,32138.0,345M
Daycare Manager,0.2817389518022537,0.18341821804642677,0.3361831043850348,0.6326110302274124,0.3673889697725876,32138.0,345M
Domiciliary Care Manager,0.24354470148682594,0.15974826086312532,0.2912619585031665,0.6304214652857767,0.3695785347142233,32138.0,345M
Property Manager,0.20265384763479233,0.20472684875130653,0.2880653824409069,0.496760518797441,0.503239481202559,37585.0,345M
Housing Manager,0.2953843716531992,0.28338662907481194,0.4093408219996393,0.5131950397557287,0.48680496024427133,37585.0,345M
Estate Manager,0.26411605905741453,0.24805245734751225,0.36233591355006345,0.5199603351151773,0.48003966488482275,37585.0,345M
Garage Manager,0.2570909233763814,0.2534418925642967,0.36101043723013454,0.5045501592350935,0.4954498407649065,44269.0,345M
Beauty Salon Manager,0.3877953328192234,0.30346102081239223,0.4924162987847492,0.5772866232498224,0.4227133767501776,19955.0,345M
Waste Disposal Manager,0.3206394203007221,0.234072370454669,0.39698805077867383,0.5985544867163894,0.40144551328361056,45991.0,345M
Environmental Services Manager,0.2649817746132612,0.1554218027740717,0.30719908472314106,0.6622974385868143,0.33770256141318566,45991.0,345M
Scientist,0.10399935767054558,0.21776648610830307,0.241325731880883,0.28364303848196243,0.7163569615180376,45208.0,345M
Researcher,0.15952445240691304,0.19993189722299576,0.2557749292696843,0.4287350547228475,0.5712649452771525,45208.0,345M
Engineer,0.08835813426412642,0.3868793398141861,0.396841005272512,0.1429438658606931,0.8570561341393069,45208.0,345M
Technologist,0.13756727380678058,0.2159712202847004,0.25606312271370185,0.36106588714290583,0.6389341128570942,45208.0,345M
Natural Scientist,0.15180954802781343,0.24156322330236435,0.28530497669097354,0.3571906857680093,0.6428093142319907,39917.0,345M
Social Scientist,0.12764713307842612,0.19756806269288063,0.23521677231728064,0.3651797406487582,0.6348202593512418,39917.0,345M
Chemist,0.1536468369886279,0.2386259026825428,0.2838127409889633,0.36418601541115725,0.6358139845888428,38260.0,345M
Chemical Scientist,0.17736890446394682,0.2094418704509735,0.27445514272598914,0.44733423963452534,0.5526657603654747,38260.0,345M
Biologist,0.154851914383471,0.20652181282639503,0.2581286008200687,0.4095877027107843,0.5904122972892156,38520.0,345M
Biological Scientist,0.1292169140651822,0.18107585422694683,0.22245331165111293,0.39457669230584813,0.6054233076941519,38520.0,345M
Physicist,0.09514368837699294,0.24450204893946648,0.26236153180978267,0.23625141925741527,0.7637485807425848,44737.0,345M
Physical Scientist,0.14806437864899635,0.20304619520902634,0.2512982642470405,0.4011122296301946,0.5988877703698054,44737.0,345M
Social Scientist,0.12764713307842612,0.19756806269288063,0.23521677231728064,0.3651797406487582,0.6348202593512418,33851.0,345M
Humanities Scientist,0.17058195266872644,0.1424539666622877,0.2222416144516949,0.5570505485187195,0.4429494514812805,33851.0,345M
Natural Scientist,0.15180954802781343,0.24156322330236435,0.28530497669097354,0.3571906857680093,0.6428093142319907,42147.0,345M
Social Scientist,0.12764713307842612,0.19756806269288063,0.23521677231728064,0.3651797406487582,0.6348202593512418,42147.0,345M
Engineer,0.08835813426412642,0.3868793398141861,0.396841005272512,0.1429438658606931,0.8570561341393069,44017.0,345M
Civil Engineer,0.23238153010606766,0.27867957577109337,0.36285462858615125,0.44248434318402774,0.5575156568159723,42034.0,345M
Mechanical Engineer,0.15857733879238367,0.3229844942688942,0.35981350157631353,0.29055431061270126,0.7094456893872987,49750.0,345M
Electrical Engineer,0.12628118693828583,0.31243669986724854,0.3369920319510232,0.2445295114565083,0.7554704885434917,51668.0,345M
Electronics Engineer,0.17696278914809227,0.24191119149327278,0.29972796551667824,0.4020689269540463,0.5979310730459537,41720.0,345M
Design Engineer,0.15448192227631807,0.15719708427786827,0.22039870148358315,0.4944542877258608,0.5055457122741391,42020.0,345M
Development Engineer,0.1616713018156588,0.18387091904878616,0.24483897709028096,0.45915602176716497,0.540843978232835,42020.0,345M
Production Engineer,0.17487612459808588,0.19216392189264297,0.25982423257195825,0.47003698676426786,0.5299630132357321,40574.0,345M
Process Engineer,0.12964498531073332,0.1480094138532877,0.19676028259131478,0.457954368357365,0.542045631642635,40574.0,345M
Engineer,0.08835813426412642,0.3868793398141861,0.396841005272512,0.1429438658606931,0.8570561341393069,44437.0,345M
IT professional,0.1750561036169529,0.2504758983850479,0.30558601912611477,0.3883274293933626,0.6116725706066374,47362.0,345M
Telecommunications ProfessionalP,0.03275510296225548,0.03501347452402115,0.04794622162707126,0.47879264725999043,0.5212073527400096,47362.0,345M
IT manager,0.258507564663887,0.2380274347960949,0.3514017938259037,0.5262432044957811,0.4737567955042189,50969.0,345M
Technology Manager,0.1627939697355032,0.1204040925949812,0.20248215253662416,0.5945887792322823,0.40541122076771774,50969.0,345M
IT Project Manager,0.21870448254048824,0.12667072750627995,0.25273924089913885,0.6657905328218551,0.3342094671781449,52384.0,345M
IT PM,0.23375337198376656,0.19930224493145943,0.30718402261266875,0.5505389483302596,0.4494610516697404,52384.0,345M
IT Programme Manager,0.21940953843295574,0.1266235075891018,0.25332599201331474,0.6667812488010376,0.3332187511989624,52384.0,345M
Technology Project Manager,0.18051197472959757,0.0695950798690319,0.19346329926566383,0.7657357480630642,0.23426425193693579,52384.0,345M
Technology Programme Manager,0.1821595262736082,0.08047316409647465,0.1991432227115035,0.7351716862267157,0.2648283137732843,52384.0,345M
Technology PM,0.1722411336377263,0.17347907647490501,0.24446267218410878,0.4977204239269804,0.5022795760730197,52384.0,345M
IT BA,0.2662672698497772,0.1951371319591999,0.33011628142597915,0.5973748000662856,0.4026251999337144,51795.0,345M
IT Business Analyst,0.19474775437265635,0.1290239840745926,0.23361052266469765,0.6274976815512858,0.3725023184487142,51795.0,345M
IT Architect,0.14741632994264364,0.12563820369541645,0.19369184949700213,0.5506678978325855,0.4493321021674145,51795.0,345M
IT Systems Designer,0.17942928709089756,0.15705445408821106,0.2384553849567959,0.5422704581399781,0.4577295418600219,51795.0,345M
Tech BA,0.1279962658882141,0.09087043069303036,0.15697286152600787,0.6069700789547411,0.3930299210452589,51795.0,345M
Tech BA,0.1279962658882141,0.09087043069303036,0.15697286152600787,0.6069700789547411,0.3930299210452589,51795.0,345M
Tech Business Analyst,0.23201394453644753,0.17013099789619446,0.2877064943732009,0.5972019948705752,0.40279800512942476,51795.0,345M
Tech Architect,0.13653144240379333,0.13245048373937607,0.190220833264012,0.5096579710709714,0.49034202892902856,51795.0,345M
Programmer,0.13281340524554253,0.19087431207299232,0.2325347363777179,0.38700905688376613,0.6129909431162339,45298.0,345M
Software Developer,0.1550418008118868,0.2730736471712589,0.31401779691349657,0.328737959087758,0.6712620409122421,45298.0,345M
Developer,0.12383529683575034,0.3031090125441551,0.3274297699169872,0.24691652967815,0.75308347032185,45298.0,345M
Web developer,0.24980988539755344,0.3072490245103836,0.3959885628461018,0.4345883912223991,0.5654116087776009,32850.0,345M
Web designer,0.30425895377993584,0.3238767012953758,0.44437554905421517,0.4801237399187162,0.5198762600812838,32850.0,345M
Web dev,0.2069281255826354,0.3014976978302002,0.36567760521264303,0.38292371117714635,0.6170762888228536,32850.0,345M
IT professional,0.1750561036169529,0.2504758983850479,0.30558601912611477,0.3883274293933626,0.6116725706066374,46290.0,345M
telecommunications Professional,0.24256019527092576,0.2829410433769226,0.37268093908475014,0.45117646839241465,0.5488235316075853,46290.0,345M
Conservation Manager,0.2195922345854342,0.15633025579154491,0.26955500063266163,0.6061388412087659,0.39386115879123407,34005.0,345M
Environmental Manager,0.18964338954538107,0.10262801311910152,0.2156319184977855,0.684215348038407,0.315784651961593,34005.0,345M
Conservation Manager,0.2195922345854342,0.15633025579154491,0.26955500063266163,0.6061388412087659,0.39386115879123407,32132.0,345M
Environmental Manager,0.18964338954538107,0.10262801311910152,0.2156319184977855,0.684215348038407,0.315784651961593,32132.0,345M
Environment Manager,0.18539521284401417,0.10913426987826824,0.21513175917874142,0.6612943260722843,0.33870567392771567,34525.0,345M
R&D Manager,0.14939406141638756,0.1457839459180832,0.20873798042984412,0.507785662440854,0.492214337559146,49956.0,345M
Research and Development Manager,0.21836610324680805,0.1500617377460003,0.26495712895210993,0.6167005807453148,0.38329941925468525,49956.0,345M
R&D Manager,0.14939406141638756,0.1457839459180832,0.20873798042984412,0.507785662440854,0.492214337559146,49956.0,345M
Research and Development Manager,0.21836610324680805,0.1500617377460003,0.26495712895210993,0.6167005807453148,0.38329941925468525,49956.0,345M
Health Professional,0.12942369375377893,0.15066872164607048,0.1986241581161089,0.45180463394048376,0.5481953660595162,35459.0,345M
Health Professional,0.12942369375377893,0.15066872164607048,0.1986241581161089,0.45180463394048376,0.5481953660595162,55210.0,345M
Medical Practitioner,0.13167917355895042,0.1722642257809639,0.21682796921311395,0.41549311117427,0.58450688882573,71990.0,345M
Doctor,0.05159946158528328,0.26149217039346695,0.266534537373634,0.12402883403380995,0.8759711659661901,71990.0,345M
Psychologist,0.12966184131801128,0.21724994853138924,0.25300144906871264,0.34255697617208064,0.6574430238279194,36998.0,345M
Pharmacist,0.21470394544303417,0.2513430491089821,0.3305618134694411,0.4500537477152729,0.5499462522847272,37459.0,345M
Optician,0.18067728728055954,0.21073695458471775,0.27758664623267315,0.4512049194614483,0.5487950805385517,28834.0,345M
Opthalmic Doctor,0.13699740543961525,0.07404906395822763,0.15572910123119574,0.6845349083950355,0.3154650916049645,28834.0,345M
Vet,0.12104794988408685,0.2605513781309128,0.2872971054797773,0.27687575165992273,0.7231242483400773,34980.0,345M
Vetenarian,0.24677453842014074,0.2383779790252447,0.3431060094149234,0.5110169110188489,0.48898308898115106,34980.0,345M
Radiographer,0.22645274363458157,0.21853740513324738,0.3147053265230867,0.5113227891778854,0.48867721082211457,32436.0,345M
Podiatrist,0.23827208206057549,0.18643081933259964,0.3025393122992548,0.5773263122753908,0.4226736877246092,26387.0,345M
Health Professional,0.12942369375377893,0.15066872164607048,0.1986241581161089,0.45180463394048376,0.5481953660595162,31595.0,345M
Therapist,0.11218649707734585,0.18442019820213318,0.21586250167965582,0.34792206833105094,0.6520779316689491,28194.0,345M
Physiotherapist,0.09680697321891785,0.1540294662117958,0.18192489253892394,0.3572135095577862,0.6427864904422138,28877.0,345M
Occupational Therapist,0.1706018391996622,0.1341093722730875,0.2170030213379274,0.5758807111459922,0.42411928885400785,27047.0,345M
Speech Therapist,0.20807958394289017,0.17736481130123138,0.27341431846515957,0.5506231262177473,0.44937687378225266,25982.0,345M
Language Therapist,0.1979100350290537,0.19625956192612648,0.27872243830132576,0.5026656486917409,0.4973343513082591,25982.0,345M
Therapist,0.11218649707734585,0.18442019820213318,0.21586250167965582,0.34792206833105094,0.6520779316689491,29864.0,345M
Nurse,0.23908520489931107,0.27722448483109474,0.36608079735437016,0.45305879107050145,0.5469412089294985,27869.0,345M
Midwife,0.46134814620018005,0.048394157551229,0.4638794094238673,0.9334636594831347,0.0665363405168653,27869.0,345M
Nurse,0.23908520489931107,0.27722448483109474,0.36608079735437016,0.45305879107050145,0.5469412089294985,27777.0,345M
Midwife,0.46134814620018005,0.048394157551229,0.4638794094238673,0.9334636594831347,0.0665363405168653,29283.0,345M
Teacher,0.19388102879747748,0.3589198961853981,0.4079379183225129,0.3152998990558598,0.6847001009441402,34194.0,345M
Teacher,0.19388102879747748,0.3589198961853981,0.4079379183225129,0.3152998990558598,0.6847001009441402,34194.0,345M
University Lecturer,0.27486842311918736,0.330355167388916,0.42975247136995887,0.4417975651256501,0.55820243487435,44677.0,345M
College Lecturer,0.23608741909265518,0.2998506724834442,0.3816381731989146,0.42461251205105227,0.5753874879489478,30079.0,345M
High-school Teacher,0.26000941172242165,0.31351571530103683,0.4073045518097736,0.4407787790751104,0.5592212209248896,34737.0,345M
Primary School Teacher,0.2888998743146658,0.3600657321512699,0.46163889442794975,0.4304658293284028,0.5695341706715972,30402.0,345M
Nursery Teacher,0.30057501792907715,0.27940002642571926,0.41037752883138917,0.5232327811689705,0.47676721883102946,30402.0,345M
Special Needs Teacher,0.1919465158134699,0.2167860046029091,0.2895507498256966,0.4613588728247159,0.5386411271752841,29114.0,345M
Senior Lecturer,0.17471461929380894,0.16970845870673656,0.2435696186957575,0.5092525635224283,0.4907474364775717,53225.0,345M
Senior Teacher,0.22609638795256615,0.3827308937907219,0.4445250428345316,0.3396917863072918,0.6603082136927082,53225.0,345M
School Inspector,0.28699686890468,0.28746357932686806,0.40620501252508523,0.4994827894274024,0.5005172105725977,35231.0,345M
Teacher,0.19388102879747748,0.3589198961853981,0.4079379183225129,0.3152998990558598,0.6847001009441402,18731.0,345M
?????? Maybe remove all these level categories,0.1935215461999178,0.22238040529191494,0.29479422229990065,0.45589652987520435,0.5441034701247957,43226.0,345M
Lawyer,0.1103169173002243,0.20750079303979874,0.23500298158697885,0.3110795107742755,0.6889204892257246,57894.0,345M
Barrister,0.2373635759577155,0.3197292797267437,0.3982063278076034,0.4065532806426742,0.5934467193573258,38823.0,345M
Judge,0.16916579194366932,0.30737513303756714,0.3508511615682509,0.32029397429232503,0.679706025707675,38823.0,345M
Solicitor,0.13540137698873878,0.18006721884012222,0.2252947762183203,0.41045890759111003,0.58954109240889,48498.0,345M
Chartered Accountant,0.21425049751996994,0.13648946955800056,0.25403277542037567,0.6388955483176533,0.3611044516823467,40394.0,345M
Certified Accountant,0.1996305612847209,0.17790577374398708,0.26740012215834796,0.5365930186894421,0.4634069813105579,40394.0,345M
Management Consultant,0.257344376295805,0.235244769603014,0.34866349054159945,0.528542282582888,0.47145771741711195,44276.0,345M
Business Analyst,0.18025111220777035,0.14641984924674034,0.23222669033850604,0.5656965108820167,0.43430348911798333,44276.0,345M
Financial Project Manager,0.22375373542308807,0.1027508769184351,0.246218351922217,0.7259416016443747,0.2740583983556253,52249.0,345M
Financial PM,0.23630863428115845,0.21507016755640507,0.319526129774337,0.5299324269817459,0.4700675730182541,52249.0,345M
Finance Project Manager,0.2483172183856368,0.11697768233716488,0.2744908361161711,0.7197304023802004,0.28026959761979964,52249.0,345M
Finance PM,0.271603474393487,0.25113190710544586,0.3699130736660058,0.5249188182425347,0.4750811817574653,52249.0,345M
Actuary,0.1356906145811081,0.15692435577511787,0.20745408243954755,0.4538842219334586,0.5461157780665413,59452.0,345M
Economist,0.2425514617934823,0.25003892555832863,0.34835423911948954,0.49032400845593277,0.5096759915440672,59452.0,345M
Statistician,0.09407175332307816,0.17682452499866486,0.20029080711376027,0.3112584083038973,0.6887415916961027,59452.0,345M
Business Researcher,0.19937021285295486,0.17751650512218475,0.2669467950057224,0.5368729933197015,0.4631270066802985,33454.0,345M
Admin Assistant,0.16446522064507008,0.13091203197836876,0.2102064911427262,0.5720077498015382,0.42799225019846177,40186.0,345M
Administrative Assistant,0.23723778873682022,0.1793273687362671,0.2973887583326062,0.5879385482414924,0.4120614517585076,40186.0,345M
Architect,0.12656675279140472,0.1965629607439041,0.233786527517242,0.3641939640634241,0.6358060359365759,42857.0,345M
Town Planning Officer,0.23091947380453348,0.11316152848303318,0.25715624610492926,0.7099216431224143,0.29007835687758565,36577.0,345M
Quantity Surveyor,0.30679959431290627,0.2996470108628273,0.428852331449406,0.5075081052321386,0.49249189476786137,45157.0,345M
Chartered Surveyor,0.22887705639004707,0.20227651484310627,0.30545129791645376,0.5392273060918836,0.46077269390811637,40092.0,345M
Chartered Architectural Technologist,0.2170252064242959,0.08663461357355118,0.23367819002325996,0.7582059639064013,0.24179403609359873,37364.0,345M
Construction PM,0.20267018675804138,0.26002056524157524,0.32967544486826383,0.42149159343359943,0.5785084065664006,41536.0,345M
Construction Project Manager,0.23305381834506989,0.14920788630843163,0.27672563231808994,0.6374604111062069,0.3625395888937931,41536.0,345M
Welfare Worker,0.24603369645774364,0.2321971021592617,0.3383017499863395,0.5184141063921069,0.48158589360789306,29015.0,345M
Social Worker,0.13844083854928613,0.13070593029260635,0.19039408076903333,0.5182905430411082,0.4817094569588918,31261.0,345M
Probation Officer,0.2424784991890192,0.2561323940753937,0.3527033113875626,0.48257124378409677,0.5174287562159032,29060.0,345M
Clergyman,0.1324750194326043,0.4503239095211029,0.4694052132859619,0.1821408876308483,0.8178591123691517,23705.0,345M
Librarian,0.1808328265324235,0.16786938905715942,0.24674003107345496,0.5236562356477356,0.47634376435226444,25314.0,345M
Curator,0.19697764422744513,0.1804878916591406,0.2671630052251913,0.5277933510778152,0.4722066489221848,24048.0,345M
Archivist,0.1972353644669056,0.22525713220238686,0.2994036816814995,0.45783801561622706,0.5421619843837729,24048.0,345M
Regulatory Professional,0.1348740952089429,0.09610940236598253,0.16561412615346952,0.6058539641230739,0.3941460358769261,43431.0,345M
Quality Control Engineer,0.1351957619190216,0.08659753855317831,0.16055225854634989,0.6373226648431941,0.3626773351568059,37774.0,345M
Quality Assurance Engineer,0.14613743126392365,0.094294099137187,0.17391815876587371,0.6352018665502746,0.36479813344972545,47332.0,345M
QA Engineer,0.13067465275526047,0.1343074031174183,0.1873882157576954,0.4912728587251528,0.5087271412748472,47332.0,345M
Environmental Health Officer,0.19349687546491623,0.06239843228831887,0.20330913694845398,0.8014071627149064,0.19859283728509358,34944.0,345M
Journalist,0.16227774182334542,0.2439517043530941,0.29299573298610304,0.3736891643290114,0.6263108356709886,38289.0,345M
Newspaper Editor,0.3139325100928545,0.42240673303604126,0.526289909657578,0.40688573622734764,0.5931142637726523,38289.0,345M
Periodical Editor,0.22018365748226643,0.2628151923418045,0.34285954609421,0.443954469718768,0.5560455302812319,38289.0,345M
Public Relations Officer,0.24568551033735275,0.15409717336297035,0.2900126011541271,0.6433724895052797,0.3566275104947203,36372.0,345M
Advertising Account Manager,0.27011974807828665,0.13721854891628027,0.30297460036868873,0.7007757267321548,0.2992242732678452,43389.0,345M
Creative Director,0.1508904518559575,0.14845884777605534,0.2116789029267891,0.5051711268137936,0.4948288731862064,43389.0,345M
Science Technician,0.19648387655615807,0.20211085677146912,0.2818771224690519,0.4910134062924161,0.5089865937075839,29024.0,345M
Laboratory Technician,0.21341959852725267,0.22435752674937248,0.3096517799797526,0.48409726650782153,0.5159027334921784,22270.0,345M
